|soundName|personName|TRN/TST|soundPath|wrdPath|phnPath|txtPath|gender|region|age|recordDate|birthDate|height|race|education|phn|prompt|start|end
20|sa1|ADD0|TRN|TIMIT/TRAIN/DR7/MADD0/SA1.wav|TIMIT/TRAIN/DR7/MADD0/SA1.wrd|TIMIT/TRAIN/DR7/MADD0/SA1.phn|TIMIT/TRAIN/DR7/MADD0/SA1.txt|M|Western|27|01/28/86|03/23/58|187.96|WHT|BS |h# sh iy hv ae dcl y er dcl d aa r kcl k s ux tcl t q ih n gcl g r iy s iy w ao sh w ao dx er q ao l y ih er h#|She had your dark suit in greasy wash water all|0|53147
21|sa2|ADD0|TRN|TIMIT/TRAIN/DR7/MADD0/SA2.wav|TIMIT/TRAIN/DR7/MADD0/SA2.wrd|TIMIT/TRAIN/DR7/MADD0/SA2.phn|TIMIT/TRAIN/DR7/MADD0/SA2.txt|M|Western|27|01/28/86|03/23/58|187.96|WHT|BS |h# d ow n ae s kcl m iy dx ix kcl k eh r iy ix n q oy l iy r ae gcl g l ay kcl dh ae tcl t h#|Don't ask me to carry an oily rag like|0|44136
22|sx88|ADD0|TRN|TIMIT/TRAIN/DR7/MADD0/SX88.wav|TIMIT/TRAIN/DR7/MADD0/SX88.wrd|TIMIT/TRAIN/DR7/MADD0/SX88.phn|TIMIT/TRAIN/DR7/MADD0/SX88.txt|M|Western|27|01/28/86|03/23/58|187.96|WHT|BS |h# f l ay ix ng s tcl t ae n dcl b ay kcl k ix n bcl b iy pcl p r ae kcl t ax-h kcl k el q ix f y ux w aa n tcl t ux s ey v m ah n iy h#|Flying standby can be practical if you want to save|0|52840
23|sx268|ADD0|TRN|TIMIT/TRAIN/DR7/MADD0/SX268.wav|TIMIT/TRAIN/DR7/MADD0/SX268.wrd|TIMIT/TRAIN/DR7/MADD0/SX268.phn|TIMIT/TRAIN/DR7/MADD0/SX268.txt|M|Western|27|01/28/86|03/23/58|187.96|WHT|BS |h# dh ix dcl jh ao q aa pcl p axr r ey tcl s bcl b ay y ux z iy ng q ae n tcl t ae gcl ix n ih s tcl t ih kcl m ah s el z h#|The jaw operates by using antagonistic|0|52635
24|sx448|ADD0|TRN|TIMIT/TRAIN/DR7/MADD0/SX448.wav|TIMIT/TRAIN/DR7/MADD0/SX448.wrd|TIMIT/TRAIN/DR7/MADD0/SX448.phn|TIMIT/TRAIN/DR7/MADD0/SX448.txt|M|Western|27|01/28/86|03/23/58|187.96|WHT|BS |h# s f ih r ix kcl k el gcl g ih f tcl s pau aa r dcl d ih f ix kcl k el tcl t ux r ae pcl p h#|Spherical gifts are difficult to|0|41371
25|sx178|ADD0|TRN|TIMIT/TRAIN/DR7/MADD0/SX178.wav|TIMIT/TRAIN/DR7/MADD0/SX178.wrd|TIMIT/TRAIN/DR7/MADD0/SX178.phn|TIMIT/TRAIN/DR7/MADD0/SX178.txt|M|Western|27|01/28/86|03/23/58|187.96|WHT|BS |h# sh iy q ix ng kcl k er ix dcl jh dcl hh er tcl ch ih l dcl d axr n tcl t ux m ey kcl dh eh r q ow n hv aa l ax w iy n kcl k aa s tcl t ux m z h#|She encouraged her children to make their own Halloween|0|58881
26|sx358|ADD0|TRN|TIMIT/TRAIN/DR7/MADD0/SX358.wav|TIMIT/TRAIN/DR7/MADD0/SX358.wrd|TIMIT/TRAIN/DR7/MADD0/SX358.phn|TIMIT/TRAIN/DR7/MADD0/SX358.txt|M|Western|27|01/28/86|03/23/58|187.96|WHT|BS |h# jh ao er dcl jh s eh l dcl d ax m w aa tcl ch ix z dcl d ey tcl t ay m uw v iy z h#|George seldom watches daytime|0|41985
27|si538|ADD0|TRN|TIMIT/TRAIN/DR7/MADD0/SI538.wav|TIMIT/TRAIN/DR7/MADD0/SI538.wrd|TIMIT/TRAIN/DR7/MADD0/SI538.phn|TIMIT/TRAIN/DR7/MADD0/SI538.txt|M|Western|27|01/28/86|03/23/58|187.96|WHT|BS |h# k aw n iy ix f ih sh el z hv ae v kcl k ow ao pcl p er ey dx ix dcl k en s ih s tcl t en q l iy h#|County officials have cooperated|0|45262
28|si1295|ADD0|TRN|TIMIT/TRAIN/DR7/MADD0/SI1295.wav|TIMIT/TRAIN/DR7/MADD0/SI1295.wrd|TIMIT/TRAIN/DR7/MADD0/SI1295.phn|TIMIT/TRAIN/DR7/MADD0/SI1295.txt|M|Western|27|01/28/86|03/23/58|187.96|WHT|BS |h# hh iy m ey gcl g ih dx ix tcl t ae kcl k s r iy f ah n dcl d h#|He may get a tax|0|29595
29|si1798|ADD0|TRN|TIMIT/TRAIN/DR7/MADD0/SI1798.wav|TIMIT/TRAIN/DR7/MADD0/SI1798.wrd|TIMIT/TRAIN/DR7/MADD0/SI1798.phn|TIMIT/TRAIN/DR7/MADD0/SI1798.txt|M|Western|27|01/28/86|03/23/58|187.96|WHT|BS |h# w ih l bcl b ow th bcl b iy bcl b l ow ih ng tcl t aw n tcl t em ao r ow s ow w ix w ow n q b iy m uw v iy ng ih n ao n y ux h#|We'll both be blowing town tomorrow so we won't be moving in on|0|56424
30|sa1|AEB0|TRN|TIMIT/TRAIN/DR4/MAEB0/SA1.wav|TIMIT/TRAIN/DR4/MAEB0/SA1.wrd|TIMIT/TRAIN/DR4/MAEB0/SA1.phn|TIMIT/TRAIN/DR4/MAEB0/SA1.txt|M|South Midland|48|04/10/86|09/20/37|180.34|WHT|HS |h# sh iy hv eh dcl jh axr dcl d aa r kcl k s ux dx ix ng gcl g r iy s ix w ao sh epi w ao dx axr ao l y ih axr h#|She had your dark suit in greasy wash water all|0|48640
31|sa2|AEB0|TRN|TIMIT/TRAIN/DR4/MAEB0/SA2.wav|TIMIT/TRAIN/DR4/MAEB0/SA2.wrd|TIMIT/TRAIN/DR4/MAEB0/SA2.phn|TIMIT/TRAIN/DR4/MAEB0/SA2.txt|M|South Midland|48|04/10/86|09/20/37|180.34|WHT|HS |h# d ow n ae s kcl m ih tcl t ux kcl k eh r iy eh n ow l iy r ae gcl g l ay kcl dh ey eh tcl t h#|Don't ask me to carry an oily rag like|0|44749
32|sx90|AEB0|TRN|TIMIT/TRAIN/DR4/MAEB0/SX90.wav|TIMIT/TRAIN/DR4/MAEB0/SX90.wrd|TIMIT/TRAIN/DR4/MAEB0/SX90.phn|TIMIT/TRAIN/DR4/MAEB0/SX90.txt|M|South Midland|48|04/10/86|09/20/37|180.34|WHT|HS |h# dh ix th ih ng kcl k er z ax-h f ey m ax s kcl k ah l pcl ch axr h#|The Thinker is a famous|0|31130
33|sx270|AEB0|TRN|TIMIT/TRAIN/DR4/MAEB0/SX270.wav|TIMIT/TRAIN/DR4/MAEB0/SX270.wrd|TIMIT/TRAIN/DR4/MAEB0/SX270.phn|TIMIT/TRAIN/DR4/MAEB0/SX270.txt|M|South Midland|48|04/10/86|09/20/37|180.34|WHT|HS |h# q aa r hv aa l eh dcl d ey ey pcl p r ix n z ax v ey l ax bcl b el tcl t uw ah s h#|Are holiday aprons available to|0|40960
34|sx450|AEB0|TRN|TIMIT/TRAIN/DR4/MAEB0/SX450.wav|TIMIT/TRAIN/DR4/MAEB0/SX450.wrd|TIMIT/TRAIN/DR4/MAEB0/SX450.phn|TIMIT/TRAIN/DR4/MAEB0/SX450.txt|M|South Midland|48|04/10/86|09/20/37|180.34|WHT|HS |h# r oy ih gcl n ao r dcl dh ix s pcl p er iy ih s dcl d ey dx ix pcl p oy s ix n dcl d r ao ix ng dh ix gcl g r ae f h#|Roy ignored the spurious data points in drawing the|0|49664
35|sx180|AEB0|TRN|TIMIT/TRAIN/DR4/MAEB0/SX180.wav|TIMIT/TRAIN/DR4/MAEB0/SX180.wrd|TIMIT/TRAIN/DR4/MAEB0/SX180.phn|TIMIT/TRAIN/DR4/MAEB0/SX180.txt|M|South Midland|48|04/10/86|09/20/37|180.34|WHT|HS |h# ao l m ow s tcl t ao l kcl k ao l ih dcl jh ix z aa r n ae kcl k ow eh dcl jh ax-h kcl k ey sh epi n el h#|Almost all colleges are now|0|44237
36|sx360|AEB0|TRN|TIMIT/TRAIN/DR4/MAEB0/SX360.wav|TIMIT/TRAIN/DR4/MAEB0/SX360.wrd|TIMIT/TRAIN/DR4/MAEB0/SX360.phn|TIMIT/TRAIN/DR4/MAEB0/SX360.txt|M|South Midland|48|04/10/86|09/20/37|180.34|WHT|HS |h# q ay q ah s ux m ao r sh tcl ch axr w el dcl d eh m ix dcl jh epi dh ih sh ih pcl s hh ah l h#|I assume moisture will damage this ship's|0|46388
37|si990|AEB0|TRN|TIMIT/TRAIN/DR4/MAEB0/SI990.wav|TIMIT/TRAIN/DR4/MAEB0/SI990.wrd|TIMIT/TRAIN/DR4/MAEB0/SI990.phn|TIMIT/TRAIN/DR4/MAEB0/SI990.txt|M|South Midland|48|04/10/86|09/20/37|180.34|WHT|HS |h# q ae n dcl dh iy z hv aa r dx iy tcl t r ae l axr z aa r n aa dx ah n ax pcl p r iy sh iy ey dx ix dcl t ax-h dcl d ey h#|And these hardy travelers are not unappreciated|0|52532
38|si1411|AEB0|TRN|TIMIT/TRAIN/DR4/MAEB0/SI1411.wav|TIMIT/TRAIN/DR4/MAEB0/SI1411.wrd|TIMIT/TRAIN/DR4/MAEB0/SI1411.phn|TIMIT/TRAIN/DR4/MAEB0/SI1411.txt|M|South Midland|48|04/10/86|09/20/37|180.34|WHT|HS |h# r ix z aa l v dh eh tcl dh iy ae nx ix s l ey v r iy s ih nx ix m ah n ix z bcl b iy kcl k ah m ix ng r aa pcl p f axr r eh z ax l ux dx ae kcl sh en h#|Resolved that the anti-slavery sentiment is becoming ripe for resolute|0|65536
39|si2250|AEB0|TRN|TIMIT/TRAIN/DR4/MAEB0/SI2250.wav|TIMIT/TRAIN/DR4/MAEB0/SI2250.wrd|TIMIT/TRAIN/DR4/MAEB0/SI2250.phn|TIMIT/TRAIN/DR4/MAEB0/SI2250.txt|M|South Midland|48|04/10/86|09/20/37|180.34|WHT|HS |h# q ao l y ow w ih sh f el th ih ng kcl k ix ng w ow n tcl ch ey n dcl jh dh ey eh tcl t h#|All your wishful thinking won't change|0|40756
50|sa1|AEO0|TRN|TIMIT/TRAIN/DR7/MAEO0/SA1.wav|TIMIT/TRAIN/DR7/MAEO0/SA1.wrd|TIMIT/TRAIN/DR7/MAEO0/SA1.phn|TIMIT/TRAIN/DR7/MAEO0/SA1.txt|M|Western|30|02/20/86|07/19/55|180.34|WHT|BS |h# sh iy hv ae dcl d ux dcl d aa r kcl k s ux dx ix n gcl g r iy s iy w aa sh epi w ao dx axr ao l y ix axr h#|She had your dark suit in greasy wash water all|0|47821
51|sa2|AEO0|TRN|TIMIT/TRAIN/DR7/MAEO0/SA2.wav|TIMIT/TRAIN/DR7/MAEO0/SA2.wrd|TIMIT/TRAIN/DR7/MAEO0/SA2.phn|TIMIT/TRAIN/DR7/MAEO0/SA2.txt|M|Western|30|02/20/86|07/19/55|180.34|WHT|BS |h# d ow n ae s kcl m iy dx ix kcl k eh r iy ix n ow l iy r ae gcl g l ay kcl dh ae tcl h#|Don't ask me to carry an oily rag like|0|39117
52|sx246|AEO0|TRN|TIMIT/TRAIN/DR7/MAEO0/SX246.wav|TIMIT/TRAIN/DR7/MAEO0/SX246.wrd|TIMIT/TRAIN/DR7/MAEO0/SX246.phn|TIMIT/TRAIN/DR7/MAEO0/SX246.txt|M|Western|30|02/20/86|07/19/55|180.34|WHT|BS |h# hh aw ey n sh ix n ih z ix s ah w ey eh s kcl k ax l ey dx axr h#|How ancient is this subway|0|32461
53|sx426|AEO0|TRN|TIMIT/TRAIN/DR7/MAEO0/SX426.wav|TIMIT/TRAIN/DR7/MAEO0/SX426.wrd|TIMIT/TRAIN/DR7/MAEO0/SX426.phn|TIMIT/TRAIN/DR7/MAEO0/SX426.txt|M|Western|30|02/20/86|07/19/55|180.34|WHT|BS |h# q ax m ao th pau z ih gcl g z ae gcl d ax l ao ng dh ax pcl p ae th pau th r uw ao dx ow z gcl g aa r dx en h#|A moth zig-zagged along the path through Otto's|0|57447
54|sx156|AEO0|TRN|TIMIT/TRAIN/DR7/MAEO0/SX156.wav|TIMIT/TRAIN/DR7/MAEO0/SX156.wrd|TIMIT/TRAIN/DR7/MAEO0/SX156.phn|TIMIT/TRAIN/DR7/MAEO0/SX156.txt|M|Western|30|02/20/86|07/19/55|180.34|WHT|BS |h# q aa r kcl k s pcl p er m ih n tcl s pcl p aa z ix v aw tcl t kcl k ah m w ax z ah n ix kcl k s pcl p eh kcl t ix dcl h#|Our experiment's positive outcome was|0|43520
55|sx336|AEO0|TRN|TIMIT/TRAIN/DR7/MAEO0/SX336.wav|TIMIT/TRAIN/DR7/MAEO0/SX336.wrd|TIMIT/TRAIN/DR7/MAEO0/SX336.phn|TIMIT/TRAIN/DR7/MAEO0/SX336.txt|M|Western|30|02/20/86|07/19/55|180.34|WHT|BS |h# r aa bcl m ey dcl d hh ah ng gcl g eh r iy ng gcl g ux l aa sh f dcl d ih nx axr pau q ix ng gcl g ux s bcl b er ix pcl p ay f axr dcl d ix z er tcl h#|Rob made Hungarian goulash for dinner and gooseberry pie for|0|60724
56|sx66|AEO0|TRN|TIMIT/TRAIN/DR7/MAEO0/SX66.wav|TIMIT/TRAIN/DR7/MAEO0/SX66.wrd|TIMIT/TRAIN/DR7/MAEO0/SX66.phn|TIMIT/TRAIN/DR7/MAEO0/SX66.txt|M|Western|30|02/20/86|07/19/55|180.34|WHT|BS |h# w iy gcl g aa tcl d r eh n tcl ch f r ax m dh iy ah nx ax nx axr ah pcl t ix dcl d r ey n h#|We got drenched from the uninterrupted|0|35636
57|si1655|AEO0|TRN|TIMIT/TRAIN/DR7/MAEO0/SI1655.wav|TIMIT/TRAIN/DR7/MAEO0/SI1655.wrd|TIMIT/TRAIN/DR7/MAEO0/SI1655.phn|TIMIT/TRAIN/DR7/MAEO0/SI1655.txt|M|Western|30|02/20/86|07/19/55|180.34|WHT|BS |h# s ow pau hh iy ix n ix s tcl t er dcl d hv axr pcl p ae n ih kcl k h#|So, he understood her|0|44237
58|si1326|AEO0|TRN|TIMIT/TRAIN/DR7/MAEO0/SI1326.wav|TIMIT/TRAIN/DR7/MAEO0/SI1326.wrd|TIMIT/TRAIN/DR7/MAEO0/SI1326.phn|TIMIT/TRAIN/DR7/MAEO0/SI1326.txt|M|Western|30|02/20/86|07/19/55|180.34|WHT|BS |h# dh ax l aa r v ah pau k eh pcl p w ao r m bcl b ay dh ix kcl k w iy n q aa r f el gcl g r ow n ax nx axr bcl b aw tcl t eh n dcl d ey z h#|The larvae, kept warm by the queen, are full grown in about ten|0|66560
59|si1956|AEO0|TRN|TIMIT/TRAIN/DR7/MAEO0/SI1956.wav|TIMIT/TRAIN/DR7/MAEO0/SI1956.wrd|TIMIT/TRAIN/DR7/MAEO0/SI1956.phn|TIMIT/TRAIN/DR7/MAEO0/SI1956.txt|M|Western|30|02/20/86|07/19/55|180.34|WHT|BS |h# q ax s ih ng g el kcl k ih kcl m ey dx ix tcl s pcl p r ih ng ow pcl p ax n pau sh ah dx axr ix n h#|A single kick made it spring open,|0|39220
70|sa1|AJP0|TRN|TIMIT/TRAIN/DR6/MAJP0/SA1.wav|TIMIT/TRAIN/DR6/MAJP0/SA1.wrd|TIMIT/TRAIN/DR6/MAJP0/SA1.phn|TIMIT/TRAIN/DR6/MAJP0/SA1.txt|M|New York City|22|05/06/86|08/23/63|180.34|WHT|BS |h# sh ix hv ae dcl jh axr dcl d aa r kcl k s ux dx ix ng gcl g r iy s ix w aa sh epi w ah dx axr q ao l y ih axr h#|She had your dark suit in greasy wash water all|0|62669
71|sa2|AJP0|TRN|TIMIT/TRAIN/DR6/MAJP0/SA2.wav|TIMIT/TRAIN/DR6/MAJP0/SA2.wrd|TIMIT/TRAIN/DR6/MAJP0/SA2.phn|TIMIT/TRAIN/DR6/MAJP0/SA2.txt|M|New York City|22|05/06/86|08/23/63|180.34|WHT|BS |h# d ah nx eh s kcl m ix dx ix kcl k ae r ih ix nx oy l iy r ae gcl g l ay kcl dh ae tcl h#|Don't ask me to carry an oily rag like|0|32154
72|sx174|AJP0|TRN|TIMIT/TRAIN/DR6/MAJP0/SX174.wav|TIMIT/TRAIN/DR6/MAJP0/SX174.wrd|TIMIT/TRAIN/DR6/MAJP0/SX174.phn|TIMIT/TRAIN/DR6/MAJP0/SX174.txt|M|New York City|22|05/06/86|08/23/63|180.34|WHT|BS |h# dh ax hh ao n tcl t ix dcl d hv aw s epi w ax z eh hv ih tcl d ux tcl t ux q aw tcl t s tcl t ae n ix ng q ao dx iy ow v ix zh uw el q ah f eh kcl k th h#|The haunted house was a hit due to outstanding audio-visual|0|68404
73|sx354|AJP0|TRN|TIMIT/TRAIN/DR6/MAJP0/SX354.wav|TIMIT/TRAIN/DR6/MAJP0/SX354.wrd|TIMIT/TRAIN/DR6/MAJP0/SX354.phn|TIMIT/TRAIN/DR6/MAJP0/SX354.txt|M|New York City|22|05/06/86|08/23/63|180.34|WHT|BS |h# q ey l oy er w ax dh ah pcl p oy n tcl t ix dcl t ix q eh kcl k s ix kcl k y ux tcl hv er w ih l h#|A lawyer was appointed to execute her|0|48436
74|sx84|AJP0|TRN|TIMIT/TRAIN/DR6/MAJP0/SX84.wav|TIMIT/TRAIN/DR6/MAJP0/SX84.wrd|TIMIT/TRAIN/DR6/MAJP0/SX84.phn|TIMIT/TRAIN/DR6/MAJP0/SX84.txt|M|New York City|22|05/06/86|08/23/63|180.34|WHT|BS |h# k ow ah pcl p axr ey sh ix nx ah l ao ng w ix q ah n dcl d axr s tcl t ae n dcl d ix ng q eh l iy v y ey tcl d ix s pcl p y ux tcl t h#|Cooperation along with understanding alleviate|0|59495
75|sx264|AJP0|TRN|TIMIT/TRAIN/DR6/MAJP0/SX264.wav|TIMIT/TRAIN/DR6/MAJP0/SX264.wrd|TIMIT/TRAIN/DR6/MAJP0/SX264.phn|TIMIT/TRAIN/DR6/MAJP0/SX264.txt|M|New York City|22|05/06/86|08/23/63|180.34|WHT|BS |h# w ix s ao q ey tcl t ay nx iy q ay s ix kcl k ax l z bcl b ix l ow q aw axr r uw f h#|We saw eight tiny icicles below our|0|52327
76|sx444|AJP0|TRN|TIMIT/TRAIN/DR6/MAJP0/SX444.wav|TIMIT/TRAIN/DR6/MAJP0/SX444.wrd|TIMIT/TRAIN/DR6/MAJP0/SX444.phn|TIMIT/TRAIN/DR6/MAJP0/SX444.txt|M|New York City|22|05/06/86|08/23/63|180.34|WHT|BS |h# dh ah tcl t aa dcl l axr f aw n dcl d ah kcl k l ae m epi sh eh l epi n ih r dh ix kcl k ae m pcl p s ay tcl h#|The toddler found a clamshell near the camp|0|51508
77|si1074|AJP0|TRN|TIMIT/TRAIN/DR6/MAJP0/SI1074.wav|TIMIT/TRAIN/DR6/MAJP0/SI1074.wrd|TIMIT/TRAIN/DR6/MAJP0/SI1074.phn|TIMIT/TRAIN/DR6/MAJP0/SI1074.txt|M|New York City|22|05/06/86|08/23/63|180.34|WHT|BS |h# hh iy gcl g ey z dcl d ax w ey f r ax m ah s eh z w iy ix pcl p r ow tcl ch dcl d h#|He gazed away from us as we|0|37069
78|si1704|AJP0|TRN|TIMIT/TRAIN/DR6/MAJP0/SI1704.wav|TIMIT/TRAIN/DR6/MAJP0/SI1704.wrd|TIMIT/TRAIN/DR6/MAJP0/SI1704.phn|TIMIT/TRAIN/DR6/MAJP0/SI1704.txt|M|New York City|22|05/06/86|08/23/63|180.34|WHT|BS |h# y axr ix tcl t ae kcl k s pcl p ey er pau hh aw s hh ow l dcl d axr epi l ae n l ao r dcl d h#|You're a taxpayer, householder,|0|69632
79|si2334|AJP0|TRN|TIMIT/TRAIN/DR6/MAJP0/SI2334.wav|TIMIT/TRAIN/DR6/MAJP0/SI2334.wrd|TIMIT/TRAIN/DR6/MAJP0/SI2334.phn|TIMIT/TRAIN/DR6/MAJP0/SI2334.txt|M|New York City|22|05/06/86|08/23/63|180.34|WHT|BS |h# b ah dx ay m s ow s epi ah n bcl b axr n dcl dh eh tcl q eh v r ih m uw v ay m ey kcl k ix z q ae gcl ix n iy h#|But I'm so sunburned that every move I make is|0|51815
90|sa1|AKB0|TRN|TIMIT/TRAIN/DR3/MAKB0/SA1.wav|TIMIT/TRAIN/DR3/MAKB0/SA1.wrd|TIMIT/TRAIN/DR3/MAKB0/SA1.phn|TIMIT/TRAIN/DR3/MAKB0/SA1.txt|M|North Midland|34|04/16/86|09/18/51|182.88|WHT|MS |h# sh iy hv ae dcl d y axr dcl d aa r kcl k s ux dx ih ng gcl g r iy s ix w ao sh epi w ao dx axr ao l y ih axr h#|She had your dark suit in greasy wash water all|0|52736
91|sa2|AKB0|TRN|TIMIT/TRAIN/DR3/MAKB0/SA2.wav|TIMIT/TRAIN/DR3/MAKB0/SA2.wrd|TIMIT/TRAIN/DR3/MAKB0/SA2.phn|TIMIT/TRAIN/DR3/MAKB0/SA2.txt|M|North Midland|34|04/16/86|09/18/51|182.88|WHT|MS |h# d ow nx ae s kcl m ih dx ix kcl k eh r ih ix nx oy l ix r ae gcl g l ay kcl k dh ae q h#|Don't ask me to carry an oily rag like|0|85607
92|sx116|AKB0|TRN|TIMIT/TRAIN/DR3/MAKB0/SX116.wav|TIMIT/TRAIN/DR3/MAKB0/SX116.wrd|TIMIT/TRAIN/DR3/MAKB0/SX116.phn|TIMIT/TRAIN/DR3/MAKB0/SX116.txt|M|North Midland|34|04/16/86|09/18/51|182.88|WHT|MS |h# k l ae s pcl dh ax s kcl k r ux ih n y axr l eh f tcl t hh ae n dcl d h#|Clasp the screw in your left|0|65639
93|sx296|AKB0|TRN|TIMIT/TRAIN/DR3/MAKB0/SX296.wav|TIMIT/TRAIN/DR3/MAKB0/SX296.wrd|TIMIT/TRAIN/DR3/MAKB0/SX296.phn|TIMIT/TRAIN/DR3/MAKB0/SX296.txt|M|North Midland|34|04/16/86|09/18/51|182.88|WHT|MS |h# dh ix tcl t ux aa r dx ih s ix kcl k s tcl ch ey n jh dcl d ax q hh aa dx ix gcl g r ae f s h#|The two artists exchanged|0|41984
94|sx26|AKB0|TRN|TIMIT/TRAIN/DR3/MAKB0/SX26.wav|TIMIT/TRAIN/DR3/MAKB0/SX26.wrd|TIMIT/TRAIN/DR3/MAKB0/SX26.phn|TIMIT/TRAIN/DR3/MAKB0/SX26.txt|M|North Midland|34|04/16/86|09/18/51|182.88|WHT|MS |h# m ow s tcl t y ah ng r ay z er l iy eh v r ix m ao r nx ix ng h#|Most young rise early every|0|40141
